ID,Site Name,Forest,County,"Elevation(Feet)",Latitude,Longitude,"Township,Range,Section,Meridian",USGS 7.5 min. map,Photographer,Taken On,imgOriginal,imgRecreated
659,Packsaddle,Willamette,"Lane, OR",6144,43.91473,121.929674,T19S_R7E_S20_WM,"Packsaddle Mountain, OR",MOE,9/4/1933,,
660,Packsaddle Mtn,Siskiyou,"Curry, OR",2707,42.030395,124.007488,T41S_R11W_S4_WM,"Fourth of July Creek, OR",SARLIN-JESS,3/17/1934,,
661,Palmer Pk,Mt. Hood,"Multnomah, OR",4010,45.57068,122.007214,T1N_R6E_S13_WM,"Multnomah Falls, OR",_,7/10/1930,,
662,Palmer Pk,Rogue River,"Jackson, OR",4736,42.149265,123.161472,T39S_R4W_S27_WM,"Tallowbox Mountain, OR",BIRCHALL,7/11/1933,,
663,Park Bu,Mt. Baker,"Whatcom, WA",5460,48.716385,121.855887,T37N_R7E_S2_WM,"Baker Pass, WA",_,9/8/1935,,
664,Parker Mtn,Rogue River,"Klamath, OR",5210,42.10497,122.278592,T40S_R5E_S7_WM,"Parker Mountain, OR",RITTENHOUSE,5/3/1934,,
665,Paulina Bu,Ochoco,"Crook, OR",5568,44.32393,119.979843,T14S_R23E_S28_WM,"Little Summit Prairie, OR",R.R.S.,10/19/1934,,
666,Paulina Pk,Deschutes,"Deschutes, OR",7984,43.689265,121.254782,T22S_R12E_S2_WM,"Paulina Peak, OR",_,11/13/1929,,
667,Pearrygin Pk,Chelan,"Okanogan, WA",6644,48.53104,120.027187,T35N_R22E_S13_WM,"Pearrygin Peak, WA",_,11/5/1938,,
668,Pearsoll Pk,Siskiyou,"Josephine, OR",5098,42.298435,123.845239,T38S_R10W_S2_WM,"Pearsoll Peak, OR",SARLIN,4/21/1934,,
669,Pearson,Umatilla,"Umatilla, OR",5725,45.024641,118.743584,T6S_R33E_S28_WM,"Pearson Ridge, OR",ARNST,7/25/1935,,
670,Peavine Mtn,Mt. Hood,"Clackamas, OR",4184,45.013165,121.835109,T6S_R8E_S28_WM,"Timothy Lake, OR",ARNST,10/10/1933,,
671,Peavine Mtn,Siskiyou,"Josephine, OR",3870,42.59407,123.655978,T34S_R8W_S21_WM,"Mount Peavine, OR",SARLIN-ARNST,4/18/1934,,
672,Pechuck,Clackamas-Marion FPA,"Clackamas, OR",4339,44.933815,122.296446,T7S_R4E_S27_WM,"Rooster Rock, OR",S.L.M.,9/18/1935,,
673,Pelican Bu,Rogue River,"Klamath, OR",8036,42.513075,122.145005,T35S_R6E_S20_WM,"Pelican Butte, OR",SNYDER-RITTENHOUSE,5/21/1934,,
674,Pelican R.S.,Rogue River,"Klamath, OR",4121,42.45434,122.10621,T36S_R6E_S10_WM,"Pelican Bay, OR",_,3/9/1934,,
675,Pepper Mtn,Mt. Hood,"Multnomah, OR",2137,45.52678,122.172457,T1N_R5E_S34_WM,"Bridal Veil, OR",SARLIN,11/13/1933,,
676,Perry Pt,Mt. Hood,"Hood River, OR",5000,45.40285,121.491892,T2S_R10E_S12_WM,"Fivemile Butte, OR",COOPER,6/30/1934,,
677,Peterson Pt,Ochoco,"Wheeler, OR",6194,44.46411,120.084628,T13S_R22E_S9_WM,"Peterson Point, OR",J.D.R.,10/18/1934,,
678,Philchuck,Mt. Baker,"Snohomish, WA",5340,48.057785,121.797552,T30N_R8E_S29_WM,"Verlot, WA",CLISBY,8/24/1935,,
679,Pickett Bu,Umpqua,"Douglas, OR",3296,42.94333,122.855929,T30S_R1W_S29_WM,"Pickett Butte, OR",_,8/7/1936,,
680,Pilot Bu,Deschutes,"Deschutes, OR",4138,44.060575,121.283139,T17S_R12E_S34_WM,"Bend, OR",_,1/1/1929,,
681,Pine Mtn,Deschutes,"Deschutes, OR",6348,43.791176,120.947648,T20S_R15E_S33_WM,"Pine Mountain, OR",COOPER,7/1/1933,,
682,Pinhead W,Mt. Hood,"Clackamas, OR",5577,44.93672,121.795789,T7S_R8E_S26_WM,"Pinhead Buttes, OR",BIRCHALL-RITTENHOUSE,10/10/1933,,
683,Pinnicle Pk,Snoqualmie,"King, WA",1801,47.17336,121.973091,T20N_R7E_S31_WM,"Enumclaw, WA",G.B.C.,8/9/1934,,
684,Pisgah E,Ochoco,"Wheeler, OR",6625,44.462195,120.172008,T13S_R21E_S11_WM,"Mount Pisgah, OR",W.B.O.,10/1/1929,,
685,Pisgah N,Ochoco,"Wheeler, OR",6540,44.476009,120.233666,T12S_R21E_S32_WM,"Mount Pisgah, OR",W.B.O.,10/1/1929,,
686,Pisgah S,Ochoco,"Wheeler, OR",6816,44.456975,120.236056,T13S_R21E_S8_WM,"Mount Pisgah, OR",_,7/13/1937,,
687,Pistol Bu,Deschutes,"Deschutes, OR",5154,43.81381,121.556525,T20S_R10E_S29_WM,"Pistol Butte, OR",SNYDER,6/27/1933,,
688,Pleasant Valley,Snoqualmie,"Lewis, WA",1400,46.741677,122.243687,T15N_R4E_S36_WM,"Eatonville, WA",G.B.C.,7/14/1934,,
689,Plot Bu,Deschutes,"Deschutes, OR",5365,43.678355,120.815651,T22S_R16E_S8_WM,"Plot Butte, OR",SNYDER-MOE,7/3/1933,,
690,Poe Mtn,Wenatchee,"Chelan, WA",6015,47.91574,121.061876,T28N_R14E_S23_WM,"Poe Mountain, WA",G.B.C.,8/23/1934,,
691,Pogue Pt,Whitman,"Grant, OR",5697,44.590935,118.311542,T11S_R36E_S21_WM,"Pogue Point, OR",ARNST,10/15/1935,,
692,Point 3670,Gifford Pinchot,"Skamania, WA",3434,46.04026,121.986572,T7N_R7E_S31_WM,"Burnt Peak, WA",RITTENHOUSE,7/4/1934,,
693,Polallie Rg,Wenatchee,"Kittitas, WA",5482,47.472515,121.180366,T23N_R13E_S23_WM,"Polallie Ridge, WA",J.D.R.,8/18/1934,,
694,Pompey Pk,Gifford Pinchot,"Lewis, WA",5180,46.501085,121.766781,T12N_R8E_S26_WM,"Purcell Mountain, WA",G.B.C.,7/13/1934,,
695,Poole Hill,Rogue River,"Jackson, OR",3843,42.34857,122.486957,T37S_R3E_S17_WM,"Robinson Butte, OR",_,8/12/1936,,
696,Porcupine,Umatilla,"Morrow, OR",5126,45.138885,119.35244,T5S_R28E_S17_WM,"Arbuckle Mountain, OR",ARNST,7/22/1935,,
697,Post Point,Mt. Hood,"Hood River, OR",2380,45.67983,121.627512,T2N_R10E_S7_WM,"Mount Defiance, OR",SNYDER,3/24/1934,,
698,Postage Stamp,Mt. Hood,"Wasco, OR",2903,45.292185,121.228204,T3S_R13E_S19_WM,"Postage Stamp Butte, OR",MOE,11/4/1933,,
699,Potamus,Umatilla,"Morrow, OR",4480,45.01661,119.225672,T6S_R29E_S28_WM,"Thompson Flat, OR",ARNST,7/23/1935,,
700,Potato Bu,Mt. Hood,"Marion, OR",5080,44.82386,121.838134,T9S_R8E_S4_WM,"Olallie Butte, OR",R.T.C.,4/11/1927,,
701,Prairie City,Malheur,"Grant, OR",3662,44.444396,118.703296,T13S_R33E_S14_WM,"Prairie City, OR",OSBORNE,9/11/1935,,
702,Prairie Hill,Malheur,"Grant, OR",5977,44.247015,118.356775,T15S_R35.5E_S25_WM,"Flag Prairie, OR",OSBORNE,9/8/1935,,
703,Prairie Mtn,Siuslaw,"Benton, OR",2800,44.27738,123.607451,T15S_R8W_S12_WM,"Prairie Peak, OR",COOPER,4/4/1934,,
704,Profits Pt,Snoqualmie,"King, WA",1400,47.712089,121.277013,T26N_R12E_S28_WM,"Skykomish, WA",R.L.C.,8/5/1934,,
705,Prospect Drive,Mt. Hood,"Hood River, OR",4250,45.41345,121.550951,T2S_R10E_S9_WM,"Dog River, OR",COOPER,6/28/1934,,
706,Pt. Defiance,Chelan,"Okanogan, WA",7403,48.874535,120.602589,T39N_R18E_S15_WM,"Tatoosh Buttes, WA",R.L.C.,9/24/1934,,
707,Pt. Prominence,Whitman,"Union, OR",6745,45.371765,117.702095,T2S_R41E_S21_WM,"Mount Fanny, OR",ARNST,9/5/1935,,
708,Pugh Mtn,Mt. Baker,"Snohomish, WA",7201,48.14294,121.374044,T31N_R11E_S27_WM,"Pugh Mountain, WA",_,7/20/1935,,
709,Pumice Bu,Fremont,"Klamath, OR",6134,43.3027,121.491653,T26S_R10E_S23_WM,"Stams Mountain, OR",SNYDER-RITTENHOUSE,5/17/1934,,
710,Pyramid,Snoqualmie,"Kittitas, WA",5715,47.111225,121.405258,T19N_R11E_S28_WM,"Noble Knob, WA",_,7/12/1938,,
711,Pyramid Bu,Mt. Hood,"Marion, OR",6095,44.76161,121.799851,T9S_R8E_S26_WM,"Olallie Butte, OR",J.D.R.,6/27/1934,,
712,Pyramid Mtn,Chelan,"Chelan, WA",8245,48.07952,120.56772,T30N_R18E_S23_WM,"Pyramid Mountain, WA",R.R.S.,9/10/1934,,
713,Pyramid Rk,Siskiyou,"Curry, OR",2841,42.366885,124.280974,T37S_R13W_S18_WM,"Sundown Mountain, OR",SARLIN-JESS,4/15/1934,,
714,Quartz Bu,Mt. Hood,"Wasco, OR",3100,45.06954,121.45637,T6S_R11E_S8_WM,"Foreman Point, OR",MOE,11/12/1933,,
715,Quartz Bu,Fremont,"Lake, OR",6279,42.31869,120.780913,T37S_R16E_S36_WM,"Quartz Valley, OR",SARLIN,5/13/1934,,
716,Quartz Mtn,Umpqua,"Douglas, OR",5530,43.164005,122.671417,T28S_R1E_S2_WM,"Quartz Mountain, OR",MOE-BIRCHALL,8/10/1933,,
717,Quartz Mtn,Snoqualmie,"Kittitas, WA",7080,47.074515,121.080972,T18N_R14E_S3_WM,"Quartz Mountain, WA",G.B.C.,8/20/1934,,
718,Quartz Mtn,Wenatchee,"Kittitas, WA",6290,47.073075,121.078593,T18N_R14E_S3_WM,"Quartz Mountain, WA",_,10/20/1938,,
719,Ragged Rks,Whitman,"Grant, OR",6301,44.625,118.731991,T11S_R33E_S10_WM,"Boulder Butte, OR",_,9/10/1936,,
720,Ragsdale Bu,Umpqua,"Jackson, OR",4803,42.788435,122.783437,T32S_R1W_S14_WM,"Ragsdale Butte, OR",_,8/4/1936,,
721,Railroad Gap,Umpqua,"Jackson, OR",4561,42.7436,122.96436,T32S_R2W_S32_WM,"Cleveland Ridge, OR",SARLIN-SNYDER,7/26/1933,,
722,Raker Pt,Mt. Hood,"Hood River, OR",4066,45.50896,121.835356,T1S_R8E_S4_WM,"Wahtum Lake, OR",COOPER-RITTENHOUSE,11/9/1933,,
723,Rancherie,Umatilla,"Wheeler, OR",4909,44.89812,120.137566,T8S_R22E_S6_WM,"Fossil South, OR",CLISBY,6/11/1936,,
724,Rattlesnake Mtn,Umpqua,"Douglas, OR",6656,43.10657,122.424357,T28S_R3E_S26_WM,"Fish Mountain, OR",RITTENHOUSE-SNYDER,8/6/1933,,
725,Ravens Roost,Snoqualmie,"Yakima, WA",6190,47.02657,121.33701,T18N_R12E_S22_WM,"Raven Roost, WA",G.B.C.,8/18/1934,,
726,Rector Mtn,Tillamook Burn,"Tillamook, OR",2188,45.765665,123.711229,T3N_R8W_S6_WM,"Hamlet, OR",S.L.M.,6/9/1936,,
727,Red Bu,Willamette,"Linn, OR",5843,44.50785,121.872594,T12S_R7.5E_S23_WM,"Marion Lake, OR",SNYDER,9/11/1933,,
728,Red Bu,Umpqua,"Douglas, OR",5275,43.16652,122.881896,T28S_R2W_S1_WM,"Red Butte, OR",SARLIN-COOPER,8/9/1933,,
729,Red Hill,Umatilla,"Morrow, OR",3965,45.014985,119.45161,T6S_R27E_S26_WM,"Madison Butte, OR",ARNST,7/20/1935,,
730,Red Hill,Wallowa,"Wallowa, OR",5024,45.788465,117.10252,T4N_R46E_S32_WM,"Billy Meadows, OR",ARNST,8/16/1935,,
731,Red Knob,Whitman,"Baker, OR",5121,44.972985,117.389617,T7S_R43E_S12_WM,"Balm Creek Reservoir, OR",ARNST,9/9/1935,,
732,Red Mt,Gifford Pinchot,"Skamania, WA",4965,45.934715,121.820606,T5N_R8E_S8_WM,"Gifford Peak, WA",_,7/8/1937,,
733,Red Mtn,Umpqua,"Douglas, OR",4797,42.772005,123.012503,T32S_R3W_S23_WM,"Cedar Springs Mountain, OR",MOE-RITTENHOUSE,8/16/1933,,
734,Red Mtn,Wallowa,"Wallowa, OR",9005,45.20446,117.137985,T4S_R45E_S24_WM,"Aneroid Mountain, OR",_,9/7/1936,,
735,Red Mtn,Mt. Baker,"Snohomish, WA",2760,48.056584,121.279992,T30N_R12E_S28_WM,"Sloan Peak, WA",CLISBY,8/9/1935,,
736,Red Mtn,Wenatchee,"Kittitas, WA",5722,47.393044,121.1456,T22N_R14E_S18_WM,"Polallie Ridge, WA",J.D.R.,8/22/1934,,
737,Red Mtn. N. Pt,Wenatchee,"Kittitas, WA",5900,47.397364,121.14447,T22N_R14E_S18_WM,"Polallie Ridge, WA",_,7/29/1936,,
738,Red Top,Wenatchee,"Kittitas, WA",5361,47.30145,120.760563,T21N_R17E_S19_WM,"Red Top Mountain, WA",R.L.C.,8/31/1934,,
739,Remmel Mtn,Chelan,"Okanogan, WA",8685,48.923435,120.196765,T40N_R21E_S34_WM,"Remmel Mountain, WA",G.B.C.,9/17/1934,,
740,Reynolds Rg,Umpqua,"Douglas, OR",5565,43.386265,122.5183,T25S_R2E_S24_WM,"Reynolds Ridge, OR",RITTENHOUSE,8/2/1936,,
741,Rho Rg,Mt. Hood,"Clackamas, OR",4480,44.922081,121.961866,T7S_R7E_S33_WM,"Mount Lowe, OR",SARLIN,6/28/1934,,
742,Rim Rk,Mt. Hood,"Hood River, OR",4205,45.48887,121.521749,T1S_R10E_S15_WM,"Dog River, OR",RITTENHOUSE-SARLIN,10/6/1933,,
743,Rim Rock,Ochoco,"Crook, OR",3189,44.301208,120.864915,T15S_R16E_S6_WM,"Prineville, OR",_,8/26/1936,,
744,Rinker Pt,Mt. Baker,"Skagit, WA",3380,48.41384,121.616181,T34N_R9E_S22_WM,"Rockport, WA",CLISBY,7/22/1935,,
745,Roaring Rg,Wenatchee,"Kittitas, WA",4988,47.35166,121.404896,T22N_R12E_S27_WM,"Lost Lake, WA",J.D.R.,8/5/1934,,
746,Robinson Bu,Rogue River,"Jackson, OR",5864,42.364085,122.381392,T37S_R4E_S8_WM,"Robinson Butte, OR",_,8/12/1936,,
747,Rock Candy Mtn,Snoqualmie,"Thurston, WA",2364,47.008435,123.110564,T14N_R3W_S31_WM,"Summit Lake, WA",_,10/5/1934,,
748,Rock Mtn,Wenatchee,"Chelan, WA",6852,47.79961,120.974238,T27N_R15E_S33_WM,"Mount Howard, WA",R.L.C.,8/18/1934,,
749,Rockies,Snoqualmie,"Lewis, WA",4400,46.656475,122.365581,T14N_R3E_S36_WM,"The Rockies, WA",R.L.C.,7/26/1934,,
750,Rocky Bu,Mt. Hood,"Multnomah, OR",612,45.546385,122.565678,T1N_R2E_S28_WM,"Mount Tabor, OR",_,5/23/1938,,
751,Rocky Bu,Mt. Hood,"Wasco, OR",4780,45.252095,121.503351,T4S_R10E_S2_WM,"Badger Lake, OR",COOPER,7/1/1934,,
752,Rocky Pk,Siskiyou,"Curry, OR",3040,42.65982,124.346943,T34S_R14W_S3_WM,"Father Mountain, OR",RITTENHOUSE-ARNST,4/6/1934,,
753,Rocky Top,Willamette,"Marion, OR",5014,44.78815,122.292114,T9S_R4E_S14_WM,"Elkhorn, OR",COOPER,6/5/1934,,
754,Rocky Top,Clackamas-Marion FPA,"Marion, OR",5014,44.78806,122.292051,T9S_R4E_S14_WM,"Elkhorn, OR",COOPER,6/5/1934,,
755,Rodman Rk,Fremont,"Lake, OR",6754,43.01003,121.286531,T29S_R12E_S34_WM,"Rodman Rock, OR",ARNST,10/27/1935,,
756,Roman Nose,Siuslaw,"Douglas, OR",2856,43.91187,123.738312,T19S_R9W_S23_WM,"Roman Nose Mountain, OR",COOPER,4/6/1934,,
757,Rooster Comb,Snoqualmie,"King, WA",4107,47.249835,121.572585,T20N_R10E_S6_WM,"Nagrom, WA",CLISBY,8/2/1936,,
758,Rooster Rk,Willamette,"Linn, OR",3567,44.417755,122.303348,T13S_R4E_S22_WM,"Upper Soda, OR",_,6/4/1937,,
759,Round Mtn,Ochoco,"Crook, OR",6753,44.392155,120.346589,T14S_R20E_S5_WM,"Ochoco Butte, OR",_,8/25/1936,,
760,Round Mtn,Snoqualmie,"Yakima, WA",5971,46.63404,121.330514,T13N_R12E_S9_WM,"Spiral Butte, WA",G.B.C.,7/22/1934,,
761,Round Mtn,Deschutes,"Deschutes, OR",5900,43.757395,121.710072,T21S_R8E_S13_WM,"Round Mountain, OR",COOPER,6/27/1933,,
762,Round Pass,Fremont,"Lake, OR",7462,42.492996,120.507065,T35S_R19E_S32_WM,"Shoestring Butte, OR",COOPER,7/7/1933,,
763,Round Prairie,Umatilla,"Asotin, WA",4650,46.192305,117.390621,T8N_R43E_S2_WM,"Pinkham Butte, WA",ARNST,8/7/1935,,
764,Round Top,Tillamook Burn,"Washington, OR",2986,45.676825,123.361895,T2N_R6W_S12_WM,"Timber, OR",S.L.M.,9/17/1939,,
765,Rudio Mtn,Malheur,"Grant, OR",5676,44.59741,119.44918,T11S_R27E_S23_WM,"Sheep Ridge, OR",_,8/21/1938,,
766,Rujada Pt,Umpqua,"Lane, OR",2980,43.69404,122.732033,T22S_R1E_S6_WM,"Rose Hill, OR",_,7/19/1937,,
767,Russel Mtn,Whitman,"Baker, OR",7487,45.06842,117.086865,T6S_R46E_S4_WM,"Deadman Point, OR",ARNST,9/15/1935,,
768,Rustler Pk,Rogue River,"Jackson, OR",6208,42.618905,122.347817,T34S_R4E_S16_WM,"Rustler Peak, OR",MOE-RITENHOUSE,7/25/1933,,
769,Saddle Bu,Umatilla,"Asotin, WA",5900,46.0706,117.462162,T7N_R43E_S19_WM,"Saddle Butte, WA",ARNST,8/5/1935,,
770,Saddle Mtn,Tillamook Burn,"Clatsop, OR",3257,45.96902,123.685106,T6N_R8W_S28_WM,"Saddle Mountain, OR",S.L.M.,5/12/1936,,
771,Saddle Mtn,Tillamook Burn,"Washington, OR",3330,45.54488,123.381631,T1N_R6W_S26_WM,"Roaring Creek, OR",S.L.M.,9/24/1935,,
772,Saddle Mtn,Siuslaw,"Lane, OR",2220,44.18593,123.957421,T16S_R11W_S13_WM,"Cummins Peak, OR",COOPER,4/12/1934,,
773,Saddleblanket,Willamette,"Lane, OR",4969,43.89354,122.510212,T19S_R2E_S25_WM,"Saddleblanket Mountain, OR",RITTENHOUSE,9/11/1933,,
774,Salmon Bu,Mt. Hood,"Clackamas, OR",4877,45.227605,121.934425,T4S_R7E_S15_WM,"High Rock, OR",BIRCHALL-SNYDER,10/24/1933,,
775,Salmon Mtn,Mt. Hood,"Clackamas, OR",4019,45.265077,121.970854,T3S_R7E_S32_WM,"Rhododendron, OR",SNYDER,3/10/1934,,
776,Sand Mtn,Willamette,"Linn, OR",5459,44.384595,121.92767,T14S_R7E_S1_WM,"Santiam Junction, OR",SNYDER,9/2/1933,,
777,Sanger Pk,Siskiyou,"Del Norte, CA",5862,41.91999,123.65547,T18N_R5E_S29_HM,"Broken Rib Mountain , CA",SNYDER,4/28/1934,,
778,Sardine Bu,Willamette,"Lane, OR",5214,43.973285,122.298287,T18S_R4E_S26_WM,"Sardine Butte, OR",SNYDER,8/20/1933,,
779,Saturday Rk,Gifford Pinchot,"Skamania, WA",3931,45.85098,122.162627,T4N_R5E_S11_WM,"Gumboot Mountain, WA",RITTENHOUSE,7/12/1934,,
780,Sauk Mtn,Mt. Baker,"Skagit, WA",5480,48.522645,121.600355,T35N_R9E_S14_WM,"Sauk Mountain, WA",WERNSTEDT,8/26/1935,,
781,Scar Mtn,Willamette,"Linn, OR",5022,44.56265,122.108342,T12S_R6E_S5_WM,"Coffin Mountain, OR",SNYDER,9/9/1933,,
782,Scott Mtn,Willamette,"Lane, OR",6116,44.24035,121.914826,T15S_R7E_S25_WM,"Linton Lake, OR",COOPER-SARLIN-ARNST,9/7/1933,,
783,Scott Mtn,Umpqua,"Douglas, OR",4250,43.37229,123.064757,T25S_R3W_S28_WM,"Glide, OR",ARNST-MOE,8/20/1933,,
784,Sedge Rg,Snoqualmie,"Yakima, WA",4837,46.50865,120.98684,T12N_R15E_S29_WM,"Pine Mountain, WA",R.R.S.,10/6/1934,,
785,Serpentine Elof,Siskiyou,"Josephine, OR",4563,42.346025,123.667067,T37S_R8W_S17_WM,"Eight Dollar Mountain, OR",SNYDER-ARNST,5/11/1934,,
786,Serpentine Pt,Siskiyou,"Josephine, OR",4286,42.36616,123.656656,T37S_R8W_S9_WM,"Eight Dollar Mountain, OR",_,10/13/1938,,
787,Setting Sun,Chelan,"Okanogan, WA",7253,48.69807,120.444905,T37N_R19E_S23_WM,"McLeod Mountain, WA",R.L.C.,9/14/1934,,
788,Sexton Mtn,Umpqua,"Josephine, OR",3834,42.600255,123.365423,T34S_R6W_S24_WM,"Sexton Mountain, OR",BIRCHALL-ARNST,8/16/1933,,
789,Shake Bu,Fremont,"Klamath, OR",7138,42.65333,120.970679,T34S_R15E_S5_WM,"Shake Butte, OR",RITTENHOUSE,5/14/1934,,
790,Sheep Mtn,Malheur,"Grant, OR",7728,44.250195,118.483694,T15S_R35E_S23_WM,"Little Baldy Mountain, OR",OSBORNE,9/10/1935,,
791,Shivigny Mtn,Umpqua,"Douglas, OR",3782,43.27033,122.920327,T26S_R2W_S34_WM,"Old Fairview, OR",COOPER-SARLIN,8/10/1933,,
792,Shoestring,Fremont,"Lake, OR",7256,42.386265,120.532875,T37S_R18E_S1_WM,"Shoestring Butte, OR",ARNST,5/14/1934,,
793,Signal Bu,Mt. Hood,"Clackamas, OR",5181,45.16976,121.931926,T5S_R7E_S3_WM,"High Rock, OR",J.D.R.,6/29/1934,,
794,Signal Bu,Siskiyou,"Curry, OR",3512,42.41616,124.285175,T36S_R13W_S31_WM,"Signal Buttes, OR",SARLIN-JESS,4/13/1934,,
795,Signal Pk,Gifford Pinchot,"Yakima, WA",5100,46.226795,121.136555,T9N_R13E_S36_WM,"Signal Peak, WA",T.L.CARTER,8/6/1935,,
796,Silica Mtn,Umpqua,"Douglas, OR",3640,43.532515,122.783659,T23S_R1W_S34_WM,"Silica Mountain, OR",RITTENHOUSE,8/12/1933,,
797,Siltcoos,Siuslaw,"Lane, OR",438,43.870075,124.124961,T20S_R12W_S4_WM,"Fivemile Creek, OR",_,10/19/1936,,
798,Silver Bu,Umpqua,"Douglas, OR",3973,42.85881,123.378119,T31S_R6W_S23_WM,"McCullough Creek, OR",BIRCHALL-ARNST,8/17/1933,,
799,Silver Bu,Whitman,"Grant, OR",6191,44.904835,118.551042,T8S_R35E_S6_WM,"Silver Butte, OR",ARNST,10/11/1935,,
800,Silver Pk,Siskiyou,"Josephine, OR",4126,42.47895,123.958905,T36S_R11W_S11_WM,"Silver Peak, OR",_,9/15/1936,,
801,Silver Star,Gifford Pinchot,"Skamania, WA",4390,45.747335,122.238509,T3N_R5E_S18_WM,"Bobs Mountain, WA",COOPER,7/12/1934,,
802,Simpson,Olympic,"Mason, WA",1370,47.29424,123.310936,T21N_R5W_S22_WM,"Vance Creek, WA",_,7/23/1937,,
803,Siouxon Pk,Gifford Pinchot,"Skamania, WA",4169,45.992275,122.130307,T6N_R5E_S24_WM,"Siouxon Peak, WA",_,7/31/1937,,
804,Sisi Bu,Mt. Hood,"Clackamas, OR",5917,44.899265,121.844533,T8S_R8E_S9_WM,"Pinhead Buttes, OR",J.D.R,6/28/1934,,
805,Sister Rks,Gifford Pinchot,"Skamania, WA",4261,45.933675,122.046212,T5N_R6E_S10_WM,"Bare Mountain, WA",RITTENHOUSE,7/12/1934,,
806,Sixteen Bu,Deschutes,"Lake, OR",5682,43.59021,120.932715,T23S_R15E_S9_WM,"Sixteen Butte, OR",MOE,6/24/1933,,
807,Skookum Bu,Fremont,"Klamath, OR",6067,43.253495,121.656359,T27S_R9E_S9_WM,"Walker Mountain, OR",BIRCHALL,5/8/1933,,
808,Skookum Pr,Umpqua,"Douglas, OR",5855,43.13794,122.328547,T28S_R4E_S15_WM,"Garwood Butte, OR",BIRCHALL,8/2/1933,,
809,Skull And Crossbones,Chelan,"Okanogan, WA",6496,48.77391,119.844173,T38N_R24E_S20_WM,"Duncan Ridge, WA",A.A.,9/9/1934,,
810,Slate Peak,Chelan,"Okanogan, WA",7440,48.74166,120.680538,T37N_R17E_S1_WM,"Slate Peak, WA",G.B.C.,9/2/1934,,
811,Slate Pk,Willamette,"Linn, OR",4523,44.64375,122.254659,T11S_R5E_S6_WM,"Lawhead Creek, OR",COOPER,5/27/1934,,
812,Sleeping Beauty,Gifford Pinchot,"Skamania, WA",4907,46.09249,121.649527,T7N_R9E_S14_WM,"Sleeping Beauty, WA",ALBRIGHT,1/1/1929,,
813,Slide,Umatilla,"Umatilla, OR",4903,45.62536,118.27875,T2N_R36E_S26_WM,"Gibbon, OR",_,7/14/1937,,
814,Slides,Fremont,"Lake, OR",7762,42.681765,120.724385,T33S_R17E_S29_WM,"Slide Mountain, OR",SARLIN-ARNST,5/17/1934,,
815,Smith Cr. Bu,Gifford Pinchot,"Skamania, WA",3780,46.208285,122.047675,T8N_R6E_S3_WM,"Smith Creek Butte, WA",_,8/13/1936,,
816,Smith Mtn,Wallowa,"Adams, ID",8005,45.13494,116.579631,T21N_R2W_S28_BM,"Purgatory Saddle, ID",ARNST,9/17/1935,,
817,Snow Camp,Siskiyou,"Curry, OR",4223,42.34386,124.165052,T37S_R12W_S30_WM,"Collier Butte, OR",SARLIN,4/12/1934,,
818,Snow Mtn,Ochoco,"Grant, OR",7163,43.970375,119.496188,T18S_R27E_S32_WM,"Whiskey Mountain, OR",R.L.C.,10/19/1934,,
819,Snow Peak,Clackamas-Marion FPA,"Linn, OR",4298,44.63053,122.582326,T11S_R2E_S5_WM,"Snow Peak, OR",_,_,,
820,Snow Pk,Willamette,"Linn, OR",4298,44.63053,122.582326,T11S_R2E_S4_WM,"Snow Peak, OR",RITTENHOUSE,6/14/1934,,
821,Snowboard,Umatilla,"Wheeler, OR",5112,44.96038,119.990036,T7S_R23E_S16_WM,"Wheeler Point, OR",CLISBY,6/11/1936,,
822,Snowshoe,Snoqualmie,"King, WA",5135,47.22675,121.36526,T20N_R11E_S14_WM,"Blowout Mountain, WA",J.D.R.,8/9/1934,,
823,Soda Mtn,ODFSW,"Jackson, OR",6091,42.06434,122.478645,T40S_R3E_S28_WM,"Soda Mountain, OR",R.L.J.,7/11/1938,,
824,Soda Mtn,Rogue River,"Jackson, OR",6091,42.06434,122.478645,T40S_R3E_S28_WM,"Soda Mountain, OR",COOPER,8/22/1933,,
825,Soda Spr,Wenatchee,"Chelan, WA",2450,47.85896,120.966156,T27N_R15E_S3_WM,"Mount Howard, WA",R.L.C.,8/24/1936,,
826,Sourdough Mtn,Mt. Baker,"Whatcom, WA",5985,48.742525,121.109293,T38N_R13E_S33_WM,"Mount Prophet, WA",CLISBY,9/25/1934,,
827,South Creek,Chelan,"Okanogan, WA",7670,48.43723,120.611956,T34N_R18E_S21_WM,"Gilbert, WA",G.B.C.,9/18/1934,,
828,South Fork,Mt. Hood,"Clackamas, OR",4840,45.090935,122.239837,T5S_R5E_S31_WM,"Wanderers Peak, OR",SARLIN-CLISBY,7/10/1934,,
829,South Fork Mtn,Clackamas-Marion FPA,"Clackamas, OR",4840,45.090755,122.239901,T5S_R5E_S31_WM,"Wanderers Peak, OR",SARLIN (BATY BU),7/3/1934,,
830,South Prairie,Snoqualmie,"Pierce, WA",3235,47.064372,121.944512,T18N_R7E_S8_WM,"Old Baldy Mountain, WA",A.A.,10/9/1934,,
831,South Pt,Gifford Pinchot,"Lewis, WA",5980,46.52053,121.643519,T12N_R9E_S23_WM,"Packwood, WA",J.D.R,7/26/1934,,
